,data,seed,best mse epoch,best_mse_repeat,best_mse_pcc,best_mse_r2,best_mse_ktc
2,0,186614,69,0.308638036251068,0.750016496276913,0.321466189784987,0.519998317461072
5,1,485001,66,0.307998657226562,0.76108571924179,0.37305255165893,0.527727554960861
14,2,70739,35,0.300514549016953,0.76139283469028,0.323742695408136,0.510951291144989
18,3,723795,98,0.304337739944458,0.743456854758576,0.263238127669424,0.540770540478297
21,4,746734,86,0.294539332389832,0.748972834028574,0.280431084942263,0.511559071987118
