,data,encoding,regressor,mse,pcc,r2,ktc
0,0,CTDD,SVM,0.4760931404605424,0.5690858492669546,0.3200077458818513,0.38562554925574205
1,0,CTDD,RF,0.3856425359140138,0.682588202250201,0.4491961446318239,0.4671462745563889
2,0,CTDD,DT,0.752123501284615,0.47347849415370075,-0.07423970553120496,0.2877021500227789
3,0,CTDD,KNN,0.5143305196985185,0.5711608948712542,0.2653942270345727,0.3723586138332476
4,0,QSOrder,SVM,0.44952757658889364,0.6007182438552638,0.3579506946954548,0.40528621019482514
5,0,QSOrder,RF,0.36706697886710166,0.7082961026721544,0.475727161011542,0.4647541028831925
6,0,QSOrder,DT,0.8105248315663566,0.4466058827075986,-0.15765290527477727,0.27566576010569077
7,0,QSOrder,KNN,0.45857032561447,0.6099637711573107,0.34503515617839453,0.38197678207016755
8,0,CTDC,SVM,0.5203557489150403,0.508448778347061,0.2567885386758665,0.3374988280303156
9,0,CTDC,RF,0.41421936894071476,0.6527093186355905,0.4083805489973499,0.4487399967331862
10,0,CTDC,DT,0.8515330541656747,0.36770968168481083,-0.21622395230921843,0.26351552526613875
11,0,CTDC,KNN,0.497994191378064,0.5686829727947972,0.28872700748147073,0.36760640399546296
12,0,CTDT,SVM,0.5068140119782277,0.5261615852907549,0.27612987221289387,0.360417662846518
13,0,CTDT,RF,0.4631453482998162,0.5984801508257285,0.3385007625397026,0.413008552307244
14,0,CTDT,DT,0.8024090928252208,0.4119681291369501,-0.14606139300245058,0.28121137383977607
15,0,CTDT,KNN,0.47082332121067644,0.6082035602407432,0.32753450055646227,0.40922612878992015
16,1,CTDD,SVM,0.5087072367441628,0.5466679817410732,0.29793639511057723,0.3977500049226586
17,1,CTDD,RF,0.3626334006612184,0.7202605395350777,0.49953196233069574,0.49997407521169623
18,1,CTDD,DT,0.6985299235395126,0.5208417410206927,0.035963318740992456,0.3523659374810803
19,1,CTDD,KNN,0.4864710033039102,0.6053283708407208,0.3286244787088015,0.3915405569880197
20,1,QSOrder,SVM,0.5007359163073665,0.5566270008985827,0.30893756347885915,0.39831105909548536
21,1,QSOrder,RF,0.39202529528741453,0.6865671748052218,0.4589683964811795,0.4746144265999262
22,1,QSOrder,DT,0.9098014395459808,0.3803415558985759,-0.2556111496846456,0.2801339016223089
23,1,QSOrder,KNN,0.4952432771037392,0.5892536887134109,0.31651791972528487,0.3735707671371148
24,1,CTDC,SVM,0.5775797870923766,0.4533158316652147,0.2028858287281048,0.31567660934722513
25,1,CTDC,RF,0.43282090059463885,0.6387902166655273,0.40266664243312367,0.43234173696781825
26,1,CTDC,DT,0.85868190632302,0.395926533829711,-0.18506140872858023,0.24487175471691608
27,1,CTDC,KNN,0.5187771696299477,0.557287433940358,0.2840389451194262,0.36686830428447736
28,1,CTDT,SVM,0.6151686079338269,0.41286498692983703,0.15100973741792145,0.30613271279116844
29,1,CTDT,RF,0.42741759695748877,0.6490085275641266,0.41012370723544234,0.4310619400771972
30,1,CTDT,DT,1.033550173027263,0.29356065878247156,-0.4263959855450845,0.25620550245625373
31,1,CTDT,KNN,0.5573881570126105,0.5364041659953607,0.2307521683011814,0.3290831107449958
32,2,CTDD,SVM,0.5789452820415251,0.44284598773348255,0.18880651765222367,0.3117526317061785
33,2,CTDD,RF,0.39880016375232946,0.6741113811827901,0.441218188264099,0.42002577692667303
34,2,CTDD,DT,0.7411370093143789,0.45223928141107983,-0.038449625779013896,0.2530478385984687
35,2,CTDD,KNN,0.47025807616155474,0.5976444063512398,0.3410944035013376,0.3790848223450088
36,2,QSOrder,SVM,0.5406101109329804,0.5050467634393416,0.24252012740525686,0.34491502114353295
37,2,QSOrder,RF,0.36745789036221344,0.7196922640267908,0.48513364743559395,0.45673994426318043
38,2,QSOrder,DT,0.8161438743997577,0.3669422380005326,-0.14354605194564796,0.24216297652066868
39,2,QSOrder,KNN,0.46718336712068,0.5926005646371764,0.3454025549129498,0.3833784139155885
40,2,CTDC,SVM,0.6170815922660662,0.395671510449028,0.13537154330395396,0.2787984709503297
41,2,CTDC,RF,0.4344153421333356,0.6373082872980952,0.3913157165254081,0.4025136567320974
42,2,CTDC,DT,0.7095792484837341,0.48844592459369923,0.005767765220422327,0.2863327564884761
43,2,CTDC,KNN,0.4914175303168348,0.5613208790168832,0.3114466771388855,0.3484611014506869
44,2,CTDT,SVM,0.6313731636622081,0.38052220795931174,0.11534680188421709,0.2942554521608776
45,2,CTDT,RF,0.4654496498549729,0.6037959866705032,0.3478317657378762,0.4042484056272777
46,2,CTDT,DT,0.7740116588678411,0.3947952870892682,-0.08451218519429737,0.2327524852830344
47,2,CTDT,KNN,0.478604543935542,0.5789792162583188,0.3293996881821123,0.3367771857636333
48,3,CTDD,SVM,0.4792532898775049,0.5389397821175383,0.2852396185983521,0.3608936538324529
49,3,CTDD,RF,0.3525271584840447,0.6979406701318529,0.47423950638523926,0.476787737665564
50,3,CTDD,DT,0.7811629723772544,0.4219051245550004,-0.1650297574710895,0.24929991403958798
51,3,CTDD,KNN,0.47678690026230885,0.5605895813529418,0.2889180024911223,0.35547363515427843
52,3,QSOrder,SVM,0.453989046519896,0.5736888368556319,0.3229188178850676,0.3932214134311763
53,3,QSOrder,RF,0.3891956125313947,0.6558600886915775,0.4195520190922639,0.4667343650273483
54,3,QSOrder,DT,0.8464836051960487,0.37117704656712364,-0.2624492252412365,0.2648458449574861
55,3,QSOrder,KNN,0.4325512619789951,0.6080218511663396,0.35489122032549136,0.3902710996142295
56,3,CTDC,SVM,0.52547044731606,0.47110283318865764,0.21631115472380036,0.33063374738903933
