,data,seed,best mse epoch,best_mse_repeat,best_mse_pcc,best_mse_r2,best_mse_ktc,
0,0,610869,71,0.27063849568367,0.80329972671631,0.555463655572353,0.566419750491614,
6,1,988027,84,0.256107300519943,0.780625318608051,0.412106294169974,0.577248112016577,
14,2,914594,62,0.278489053249359,0.80297251073249,0.481810173170797,0.590366417599598,
15,3,794071,48,0.247429460287094,0.806372417932619,0.519917459625507,0.589986284238692,
8,4,803265,62,0.279105424880981,0.78403641259857,0.502030802381735,0.57431966168532,3
