,data,encoding,regressor,mse,pcc,r2,ktc
0,0,CTDD,SVM,0.455030204339402,0.622398088140486,0.385626000455012,0.413312028754969
1,0,CTDD,RF,0.354715331973107,0.7231935172151,0.521069425444787,0.49947206907588
2,0,CTDD,DT,0.674094532086112,0.56704271572483,0.089849091775356,0.377486144134439
3,0,CTDD,KNN,0.479931355704152,0.616519172206112,0.352004891765213,0.382786995218932
4,0,QSOrder,SVM,0.407417212640719,0.671332935521765,0.449912247524456,0.447130706673955
5,0,QSOrder,RF,0.326470869889038,0.753234777823966,0.559204615087369,0.499816906286999
6,0,QSOrder,DT,0.68441559949981,0.577448214007294,0.0759137630739731,0.353360344784448
7,0,QSOrder,KNN,0.432662393554516,0.660615826332954,0.41582663602145,0.409507548794091
8,0,CTDC,SVM,0.474367476266193,0.599873163839333,0.359517146623652,0.36603130946487
9,0,CTDC,RF,0.371338401601096,0.707533010395054,0.498625241136431,0.444508816325912
10,0,CTDC,DT,0.681654735547471,0.533051329347496,0.0796414343635321,0.331901805218179
11,0,CTDC,KNN,0.464978663230467,0.637732705836122,0.372193761408187,0.401898004704999
12,0,CTDT,SVM,0.406126710654006,0.67292123529305,0.451654661235539,0.430864426078413
13,0,CTDT,RF,0.396994738549962,0.685155544572759,0.463984493786851,0.439534672068386
14,0,CTDT,DT,0.74075638958566,0.525029833827527,-0.000156608106814948,0.330776623619765
15,0,CTDT,KNN,0.488736368534491,0.614230085040452,0.340116514033291,0.361133750557278
16,1,CTDD,SVM,0.404406943413808,0.617561624360255,0.38112675615785,0.402922260844168
17,1,CTDD,RF,0.310453340329044,0.736263147279255,0.524906115188857,0.496636567669686
18,1,CTDD,DT,0.638482415318781,0.510298086325196,0.0229156795159693,0.336358939859512
19,1,CTDD,KNN,0.431460006784667,0.625705472358457,0.33972683126324,0.406183782345272
20,1,QSOrder,SVM,0.359101828058587,0.671571556105936,0.450458215864858,0.454224994383604
21,1,QSOrder,RF,0.30480962752849,0.733520663343082,0.533542818650742,0.512842615998514
22,1,QSOrder,DT,0.69829432973036,0.497662608102199,-0.068615868334895,0.328881261208693
23,1,QSOrder,KNN,0.369906858061832,0.678720201330705,0.433923030015989,0.450395414186021
24,1,CTDC,SVM,0.411773807732158,0.608873439977907,0.369853074308681,0.393415136714378
25,1,CTDC,RF,0.309405830134403,0.734480776154397,0.526509144124618,0.494816884529634
26,1,CTDC,DT,0.572995749466183,0.55631344053231,0.123131429973879,0.380335033383091
27,1,CTDC,KNN,0.407422301776921,0.64595584724307,0.376512283924082,0.41127252627017
28,1,CTDT,SVM,0.374385184822396,0.654312755457772,0.427069743606267,0.426152881154786
29,1,CTDT,RF,0.345790817280092,0.703332664226632,0.470828361712912,0.478564574904093
30,1,CTDT,DT,0.783617118367447,0.394862864202763,-0.199187293572421,0.257384017194595
31,1,CTDT,KNN,0.412526363850256,0.644159791202244,0.368701420377991,0.398380450976987
32,2,CTDD,SVM,0.439313363085567,0.671793772658406,0.437815390735942,0.454362812661192
33,2,CTDD,RF,0.366816233480999,0.738726789808256,0.530589191635714,0.526241640972531
34,2,CTDD,DT,0.666255494389675,0.567053846259508,0.147399974012316,0.386345982560534
35,2,CTDD,KNN,0.517878854374662,0.598768454186216,0.337275972331326,0.39445929900339
36,2,QSOrder,SVM,0.382995966516526,0.718040151863182,0.509884160423624,0.485699027880485
37,2,QSOrder,RF,0.335699820422538,0.764073190533515,0.570408532422674,0.540888183042821
38,2,QSOrder,DT,0.721068136236881,0.521162383539206,0.0772568228384677,0.320849385114597
39,2,QSOrder,KNN,0.445049846986501,0.662291259236568,0.430474473679048,0.442274729978082
40,2,CTDC,SVM,0.490966941442588,0.611936590001219,0.371714859302583,0.381676343707563
41,2,CTDC,RF,0.382389075035052,0.719908680657378,0.510660792957591,0.496191554989574
42,2,CTDC,DT,0.719985897028486,0.531662006968035,0.0786417527714623,0.346041421866263
43,2,CTDC,KNN,0.497354164983366,0.615148972912236,0.363541197692715,0.386168377301228
44,2,CTDT,SVM,0.450090520685611,0.655298192254573,0.424023977490955,0.419531120174705
45,2,CTDT,RF,0.409871891218558,0.701982727961208,0.475491327205212,0.485600563732113
46,2,CTDT,DT,0.804016798944164,0.470738488142648,-0.0288916931218519,0.325655449520045
47,2,CTDT,KNN,0.463851493438957,0.647267394061573,0.406414207926703,0.418241883676726
48,3,CTDD,SVM,0.423071045873944,0.632691793316472,0.396398086358921,0.431959906462634
49,3,CTDD,RF,0.327959408504531,0.734166217038228,0.532095309994544,0.521524585973248
50,3,CTDD,DT,0.686202427863169,0.51518337069956,0.0209845305112785,0.330315580577033
51,3,CTDD,KNN,0.435637116160886,0.634566365402112,0.378469882228386,0.405546540950684
52,3,QSOrder,SVM,0.407249612819435,0.648321725945,0.418970766199298,0.442453458022458
53,3,QSOrder,RF,0.313464175084583,0.744699689127286,0.552775880589682,0.52955486251903
54,3,QSOrder,DT,0.609590929163573,0.573280037582626,0.130287324150731,0.384069246700172
55,3,QSOrder,KNN,0.364827742162509,0.700961350625053,0.479494696065167,0.471046958036788
56,3,CTDC,SVM,0.498172504611848,0.543442580685267,0.289249689763275,0.339605866851264
57,3,CTDC,RF,0.37044325629566,0.686761577388181,0.47148295640606,0.455755704527437
58,3,CTDC,DT,0.724727530853049,0.479222820372047,-0.0339798214922373,0.329256138567799
59,3,CTDC,KNN,0.433658412037312,0.638864622163498,0.381292929579811,0.426127645998192
60,3,CTDT,SVM,0.40450826133772,0.651951720832982,0.422881894168142,0.436076254147956
