coverage,species,mse,std
20%,S. aureus,0.450957233,0.0090886827617823
30%,S. aureus,0.439891344,0.0054129872212877
40%,S. aureus,0.432024598,0.0082921463136698
50%,S. aureus,0.398797536,0.0101761832750636
60%,S. aureus,0.382022911,0.009702734888879
70%,S. aureus,0.358613648,0.0096098920236694
80%,S. aureus,0.361829817,0.0126474552251243
90%,S. aureus,0.325543773,0.0094699973879907
100%,S. aureus,0.303205662965775,0.00583336206054097
